date_start,date_end,event_name,event_type,taiex_peak,taiex_trough,drawdown_pct,duration_months,fear_level,notes
1990-02-12,1990-10-01,台股史上最大泡沫崩跌,泡沫崩跌,12682,2485,-80,8,極度恐懼,加權指數從12682跌至2485，跌幅80%，當時散戶融資極高
1997-07-01,1998-09-01,亞洲金融風暴,區域金融危機,10256,5422,-47,14,高度恐懼,泰銖崩跌引發連鎖，台股受衝擊但相對東南亞抵抗力較強
2000-02-01,2001-10-01,網路科技泡沫,科技泡沫崩跌,10393,3446,-67,20,極度恐懼,那斯達克崩跌，台灣科技股首當其衝，60日新低長期維持80%以上
2001-09-11,2001-09-30,911恐攻,地緣政治衝擊,,,,-1,高度恐懼,美股休市數日，台股短暫急跌後快速回穩
2002-07-01,2002-10-01,安隆/世界通訊會計醜聞,信心危機,6484,4531,-30,3,中度恐懼,美國企業會計造假風波，拖累全球股市
2003-03-01,2003-05-01,SARS疫情,疫情衝擊,5400,4139,-23,2,中度恐懼,台灣受創較深，但疫情結束後快速反彈
2007-10-01,2008-11-21,全球金融海嘯,系統性金融危機,9807,3955,-60,13,極度恐懼,雷曼兄弟倒閉，融資維持率崩至歷史低點92.56，60日新低達100%
2010-04-01,2010-06-01,歐洲主權債務危機第一波,主權債務危機,8395,7032,-16,2,中度恐懼,希臘爆發債務危機，歐元區存亡受質疑
2011-03-11,2011-03-25,日本311大地震+核災,天災/地緣衝擊,8800,8100,-8,0.5,輕度恐懼,供應鏈衝擊，台灣科技廠商受波及，但快速回穩
2011-07-01,2011-12-01,美國信評下調+歐債惡化,主權債務危機,9220,6610,-28,5,高度恐懼,S&P將美國AAA下調至AA+，歐債蔓延義大利西班牙
2013-05-01,2013-07-01,Fed縮減QE恐慌(Taper Tantrum),貨幣政策衝擊,8470,7660,-10,2,輕度恐懼,柏南克暗示縮減購債，新興市場資金出逃
2015-06-01,2015-09-01,中國股災+人民幣貶值,區域金融衝擊,10014,7627,-24,3,高度恐懼,A股崩跌50%，人民幣突然大幅貶值，台股60日新低飆升
2016-06-24,2016-07-05,英國脫歐公投,地緣政治衝擊,8560,8280,-3,0.3,輕度恐懼,脫歐結果意外通過，市場數日即消化
2016-11-08,2016-11-15,川普首次當選,地緣政治衝擊,9300,9000,-3,0.3,中性偏多,市場預期基建+減稅，反而上漲
2018-01-01,2018-12-26,中美貿易戰第一輪+Fed升息,貿易戰/貨幣政策,11270,9319,-17,11,中度恐懼,關稅互徵升級，Fed連續升息，Q4出現全球股災
2019-01-01,2019-12-31,貿易戰持續+華為制裁,貿易戰,10641,9382,-12,3,輕度恐懼,中美談判反覆，半導體供應鏈重組開始
2020-02-01,2020-03-19,COVID-19疫情閃崩,疫情衝擊,12197,8523,-30,1.5,極度恐懼,CNN Fear&Greed最低達3，60日新低衝至80%，是近年最佳進場點
2020-03-19,2021-01-01,疫情後V型反彈,政策刺激多頭,8523,18000,+111,9,極度貪婪,全球央行無限QE，台股從谷底翻倍
2021-01-01,2022-01-01,AI/科技/半導體牛市第一波,科技多頭,18034,18619,+3,12,貪婪,台積電領漲，台股突破18000歷史新高
2022-01-01,2022-10-25,通膨+激進升息熊市,貨幣緊縮,18619,12629,-32,10,高度恐懼,Fed升息17碼，全球股債雙殺，月MACD OSC轉深度負值
2022-10-25,2024-07-01,AI浪潮+半導體超級週期,AI科技多頭,12629,24416,+93,20,貪婪,ChatGPT引爆AI需求，台積電CoWoS需求爆發
2024-07-17,2024-08-05,日圓升息+carry trade崩解,套利交易崩解,24416,19662,-19,0.6,高度恐懼,日本央行升息，日圓套利交易急速平倉，台股單日最大跌點
2024-08-05,2025-01-01,AI多頭延續,科技多頭,19662,23885,+21,5,貪婪,市場快速回穩，AI資本支出持續擴張
2025-04-02,2025-04-09,川普對等關稅宣布,貿易戰衝擊,,,,-1,高度恐懼,關稅稅率超出預期，台股急跌後快速反彈，顯示市場韌性
2025-04-09,2026-04-30,關稅後反彈+台股創歷史新高,貿易戰後多頭,23000,38927,+69,12,偏貪婪,TAIEX突破歷史高點，月MACD OSC創20年新高1202
